route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
354-6-0,354,0,"State St, Boston - North Burlington via Medford Sq, West Cummings Park & Woburn",,2,535400040,60314956,0
354-4-1,354,1,"North Burlington - State St, Boston via Woburn",,1,535401000,60315073,0
354-6-1,354,1,"North Burlington - State St, Boston via Woburn, West Cummings Park & Medford Sq",,1,535401040,60315082,0
411-1-0,411,0,Malden Center Station - Kennedy Dr,Weekdays only,1,541100000,60314799,0
411-9-0,411,0,Malden Center Station - Jack Satter House via Kennedy Dr,,1,541100030,60314762,0
411-9-1,411,1,Jack Satter House - Malden Center Station via Kennedy Dr,,1,541101000,60314753,0
411-1-1,411,1,Kennedy Dr - Malden Center Station,Weekdays only,1,541101030,60314796,0
424-6-0,424,0,Wonderland Station - Eastern Ave & Essex St,Weekdays only,1,542400000,60467563,0
424-6-1,424,1,Eastern Ave & Essex St - Wonderland Station,Weekday mornings only,1,542401000,60467560,0
426-_-0,426,0,"Haymarket Station - Central Square, Lynn",Weekdays only,1,542600000,60467548,0
426-7-0,426,0,"Wonderland Station - Central Square, Lynn via Silsbee St",,2,542600030,60467554,0
426-2-0,426,0,"O'Callaghan Way & Holyoke St - Central Square, Lynn",School days only,3,542600060,60467821,0
426-3-0,426,0,"O'Callaghan Way & Fecteau Way - Central Square, Lynn",School days only,3,542600080,60467830,0
426-_-1,426,1,"Central Square, Lynn - Haymarket Station",Weekdays only,1,542601000,60467542,0
426-7-1,426,1,"Central Square, Lynn - Wonderland Station",,2,542601030,60467546,0
428-_-0,428,0,Haymarket Station - Oaklandvale,Weekdays only,1,542800000,60467841,0
428-_-1,428,1,Oaklandvale - Haymarket Station,Weekday mornings only,1,542801000,60467838,0
429-_-0,429,0,Central Sq - Northgate Ctr via Square One & Garfield Ave,,1,542900000,60467620,0
429-1-0,429,0,"Central Sq, Lynn - Northgate Shopping Ctr via Garfield Ave",Weekday mornings only,2,542900040,60467617,0
429-3-0,429,0,"Central Square, Lynn - O'Callaghan Way & Fecteau Way",School days only,3,542900070,60467817,0
429-2-0,429,0,"Central Sq, Lynn - Northgate Shopping Ctr via Square One",Evenings only,3,542900100,60467627,0
429-5-0,429,0,Neptune Towers - O'Callaghan Way & Osborne St,School days only,3,542900130,60467826,0
429-_-1,429,1,Northgate Ctr - Central Sq via Square One & Garfield Ave,,1,542901000,60467607,0
429-1-1,429,1,"Northgate Shopping Ctr - Central Sq, Lynn via Garfield Ave",Weekday mornings only,2,542901040,60467603,0
429-3-1,429,1,"O'Callaghan Way & Fecteau Way - Central Square, Lynn",School days only,3,542901070,60467829,0
429-2-1,429,1,"Northgate Shopping Ctr - Central Sq, Lynn via Square One",Evenings only,3,542901090,60467614,0
429-4-1,429,1,"O'Callaghan Way & Holyoke St - Central Square, Lynn",School days only,3,542901120,60467822,0
430-1-0,430,0,Malden Center Station - Saugus Center,,1,543000000,60314748,0
430-6-0,430,0,Malden Center Station - Saugus Center (Omits Square One),Weekday mornings only,2,543000040,60314761,0
430-7-0,430,0,Salem St & Sprague St - Square One Mall,School days only,3,543000070,60314765,0
430-2-0,430,0,Malden Center Station - Saugus Center via Kennedy Dr,Weekday evenings only,3,543000090,60312442,0
430-1-1,430,1,Saugus Center - Malden Center Station,,1,543001000,60314769,0
430-6-1,430,1,Saugus Center - Malden Center Station (Omits Square One),Weekdays only,2,543001040,60314768,0
430-2-1,430,1,Saugus Center - Malden Center Station via Kennedy Dr,Weekday evenings only,3,543001060,60312259,0
435-8-0,435,0,Neptune Towers - Salem Depot,,1,543500000,60467865,0
435-7-0,435,0,"Central Square, Lynn - Salem Depot",,2,543500030,60467866,0
435-6-0,435,0,Neptune Towers - Liberty Tree Mall,Sundays only,3,543500070,60469333,0
435-_-0,435,0,"Central Square, Lynn - Liberty Tree Mall",Sundays only,3,543500090,60469343,0
435-8-1,435,1,Salem Depot - Neptune Towers,,1,543501000,60467864,0
435-7-1,435,1,"Salem Depot - Central Square, Lynn",,2,543501030,60467867,0
435-6-1,435,1,Liberty Tree Mall - Neptune Towers,Sundays only,3,543501070,60469334,0
435-_-1,435,1,"Liberty Tree Mall - Central Square, Lynn via Danvers Square",Sundays only,3,543501090,60469336,0
436-_-0,436,0,"Central Square, Lynn - Liberty Tree Mall",,1,543600000,60467569,0
436-1-0,436,0,"Central Square, Lynn - North Shore Mall",Weekday mornings only,2,543600030,60467587,0
436-2-0,436,0,"Central Square, Lynn - Goodwins Circle",,3,543600060,60467594,0
436-_-1,436,1,"Liberty Tree Mall - Central Square, Lynn",,1,543601000,60467577,0
436-1-1,436,1,"North Shore Mall - Central Square, Lynn",Weekdays only,2,543601040,60467591,0
436-3-1,436,1,Goodwins Circle - Neptune Towers,Weekday mornings only,3,543601060,60467595,0
436-8-1,436,1,Broadway & Conomo Ave - Lynn Bus Garage,School days only,3,543601080,60467816,0
436-9-1,436,1,Goodridge St & Memorial Park Ave - Lynn Bus Garage,School days only,3,543601100,60467820,0
436-2-1,436,1,"Goodwins Circle - Central Square, Lynn",Mornings only,3,543601120,60470785,0
439-_-0,439,0,"Central Square, Lynn - Nahant",Weekdays only,1,543900000,60467634,0
439-3-0,439,0,Wonderland Station - Nahant,Weekdays only,1,543900030,60467707,0
439-3-1,439,1,Nahant - Wonderland Station,Weekdays only,1,543901000,60467700,0
439-_-1,439,1,"Nahant - Central Square, Lynn",Weekdays only,2,543901030,60467633,0
441-7-0,441,0,Wonderland Station - Marblehead via Paradise Rd,,1,544100000,60467968,0
441-5-0,441,0,Wonderland - Marblehead via Paradise Rd (Omits Point of Pines),Weekdays only,2,544100040,60467973,0
441-9-0,441,0,Lynn Bus Garage - Marblehead via Paradise Rd,Early mornings only,3,544100060,60468019,0
441-7-1,441,1,Marblehead - Wonderland Station via Paradise Rd,,1,544101000,60468015,0
441-5-1,441,1,Marblehead - Wonderland via Paradise Rd (Omits Point of Pines),Weekdays only,2,544101030,60468000,0
441442-1-0,441442,0,"Wonderland Station - Ocean St, Lynn",,1,544110000,60467980,0
441442-1-1,441442,1,"Ocean St, Lynn - Wonderland Station",,1,544111000,60467979,0
442-7-0,442,0,Wonderland Station - Marblehead via Humphrey St,,1,544200000,60468012,0
442-5-0,442,0,Wonderland - Marblehead via Humphrey St (Omits Point of Pines),Weekdays only,2,544200040,60467974,0
442-9-0,442,0,Lynn Bus Garage - Marblehead via Humphrey St,Mornings only,3,544200070,60468058,0
442-7-1,442,1,Marblehead - Wonderland Station via Humphrey St,,1,544201000,60467971,0
442-5-1,442,1,Marblehead - Wonderland via Humphrey St (Omits Point of Pines),Weekday mornings only,2,544201040,60468020,0
442-9-1,442,1,Marblehead - Lynn Bus Garage via Humphrey St,Sunday late nights only,3,544201070,60469647,0
450-8-0,450,0,Haymarket Station - Salem Depot,Weekdays only,1,545000000,60467913,0
450-7-0,450,0,Wonderland Station - Salem Depot,,2,545000030,60471110,0
450-9-0,450,0,Lynn Bus Garage - Salem Depot,Mornings only,3,545000050,60467953,0
450-8-1,450,1,Salem Depot - Haymarket Station,Weekdays only,1,545001000,60467917,0
450-7-1,450,1,Salem Depot - Wonderland Station,,2,545001030,60471111,0
450-9-1,450,1,Salem Depot - Lynn Bus Garage,Late nights only,3,545001050,60467912,0
451-1-0,451,0,Salem Depot - North Beverly Station via Tozer Rd,Weekdays only,1,545100000,60467844,0
451-_-0,451,0,Salem Depot - North Beverly Station via Cabot St,Weekdays only,1,545100030,60467850,0
451-_-1,451,1,North Beverly Station - Salem Depot via Cabot St,Weekdays only,1,545101000,60467847,0
451-1-1,451,1,North Beverly Station - Salem Depot via Tozer Rd & Cummings,Weekdays only,1,545101020,60467853,0
455-7-0,455,0,Wonderland Station - Salem Depot (Omits Shetland Park),,1,545500000,60468354,0
455-8-0,455,0,Lynn Bus Garage - Salem Depot (Omits Shetland Park),Early mornings only,3,545500040,60468372,0
455-7-1,455,1,Salem Depot - Wonderland Station (Omits Shetland Park),,1,545501000,60468355,0
455-5-1,455,1,"Central Square, Lynn - Wonderland Station",Early mornings only,3,545501040,60467567,0
455-3-1,455,1,Brookline St & Empire St - Lynn Bus Garage,School days only,3,545501070,60467833,0
455-8-1,455,1,Salem Depot - Lynn Bus Garage (Omits Shetland Park),Evenings only,3,545501090,60470872,0
456-_-0,456,0,"Central Square, Lynn - Salem Depot",Weekdays only,1,545600000,60467900,0
456-_-1,456,1,"Salem Depot - Central Square, Lynn",Weekday middays only,1,545601000,60467899,0
501-5-0,501,0,Federal St & Franklin St - Brighton Center via Copley Sq,,1,550100000,60166017,0
501-4-0,501,0,Federal St & Franklin St - Brighton Center via Copley Sq & Cambridge St,,2,550100040,60166069,0
501-4-1,501,1,Brighton Center - Federal St & Franklin St via Copley Sq,,1,550101000,60166068,0
501-5-1,501,1,Brighton Center - Federal St & Franklin St via Cambridge St & Copley Sq,,1,550101040,60166065,0
504-2-0,504,0,Federal & Franklin - Watertown via Copley Sq and Newton Crnr,,1,550400000,60170073,0
504-2-1,504,1,Watertown Yard - Federal St & Franklin St via Copley Square,,1,550401000,60170039,0
505-6-0,505,0,Federal St & Franklin St - Waltham Center via School St,Weekdays only,1,550500000,60166016,0
505-5-0,505,0,Federal St & Franklin St - Waltham Center,Weekdays only,2,550500030,60166130,0
505-5-1,505,1,Waltham Center - Federal St & Franklin St via School St,Weekdays only,1,550501000,60166091,0
505-6-1,505,1,Waltham Center - Federal St & Franklin St,Weekdays only,2,550501030,60166039,0
553-6-0,553,0,Newton Corner - Roberts,,1,555300000,60166080,0
553-6-1,553,1,Roberts - Newton Corner,,1,555301000,60166079,0
554-6-0,554,0,Newton Corner - Waverly Square,Weekdays only,1,555400000,60166186,0
554-6-1,554,1,Waverly Square - Newton Corner,Weekdays only,1,555401000,60166185,0
556-6-0,556,0,Newton Corner - Waltham Highlands,Weekdays only,1,555600000,60166198,0
556-6-1,556,1,Waltham Highlands - Newton Corner,Weekdays only,1,555601000,60166197,0
558-7-0,558,0,Newton Corner - Riverside Station,Weekdays only,1,555800000,60169277,0
558-7-1,558,1,Riverside Station - Newton Corner,Weekdays only,1,555801000,60169364,0
712-1-0,712,0,"Orient Heights Station, South Busway - Winthrop Beach",,1,571200000,60503379,0
712-_-0,712,0,"Orient Heights Station, South Busway - Point Shirley",,1,571200040,60503329,0
712-1-1,712,1,"Winthrop Beach - Orient Heights Station, South Busway",,1,571201000,60503330,0
712-_-1,712,1,"Point Shirley - Orient Heights Station, South Busway",,2,571201040,60503679,0
713-1-0,713,0,"Orient Heights Station, South Busway - Winthrop Beach",,1,571300000,60503378,0
713-_-0,713,0,Orient Heights Station  - Point Shirley (South Busway),,2,571300040,60503673,0
713-1-1,713,1,"Winthrop Beach - Orient Heights Station, South Busway",,1,571301000,60503335,0
713-_-1,713,1,Point Shirley - Orient Heights Station  (South Busway),,1,571301040,60503304,0
714-_-0,714,0,Hingham Depot - Pemberton Point,,1,571400000,60504501,0
714-_-1,714,1,Pemberton Point - Hingham Depot,,1,571401000,60504505,0
716-_-0,716,0,Mattapan Station - Cobbs Corner,Weekdays only,1,571600000,60504611,0
716-1-0,716,0,Mattapan Station - Cobbs Corner (Omits Royall St),Saturdays only,2,571600030,60504587,0
716-_-1,716,1,Cobbs Corner - Mattapan Station,Weekdays only,1,571601000,60504606,0
716-1-1,716,1,Cobbs Corner - Mattapan Station (Omits Royall St),Saturdays only,2,571601030,60504592,0
Shuttle-BabcockBackBay-0-0,Shuttle-BabcockBackBay,0,Back Bay - Babcock Street,,4,603900990,60564033-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusBabckBackBayGovt,0
Shuttle-BabcockBackBay-0-1,Shuttle-BabcockBackBay,1,Babcock Street - Back Bay,,4,603901990,60564032-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusBabckBackBayGovt,0
Shuttle-CopleyKenmore-0-0,Shuttle-CopleyKenmore,0,Back Bay - Kenmore,,4,614250990,60564105-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusGovtCtrKenmoreCD,0
Shuttle-CopleyKenmore-0-1,Shuttle-CopleyKenmore,1,Kenmore - Back Bay,,4,614251990,60564106-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusGovtCtrKenmoreCD,0
Shuttle-MedfordNorthStation-0-0,Shuttle-MedfordNorthStation,0,Medford/Tufts - North Station,,4,620650990,60565057-20:45-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusNorthMedfordNorthUnionSuspendD0NorthMedford,0
Shuttle-MedfordNorthStation-0-1,Shuttle-MedfordNorthStation,1,North Station - Medford/Tufts,,4,620651990,60565046-20:45-BabckBackBayGovtGovtCtrKenmoreCDGovtCtrNorthStaGovtCtrNorthStaHeathNorthSusNorthMedfordNorthUnionSuspendD2NorthMedford,0
